"","idx","name","selected","f[(1)](id, age)","f[(2)](age)","f[(3)](diseaseAge)","f[(4)](sex, age)","f[(5)](group)","noise","max(Rhat)","n","N","N_cases","flag","N_b05","N_b02","NA"
"827",827,"P23142","f[(1)](id, age), f[(2)](age)",0.545,0.19,0.002,0.003,0.001,0.259,1.003,189,21,11,0,3,11,0
"828",828,"P23142.1","f[(1)](id, age), f[(2)](age)",0.398,0.148,0.001,0.005,0.002,0.447,1.003,189,21,11,0,0,11,0
"829",829,"P23229","f[(2)](age), f[(1)](id, age)",0.096,0.169,0.008,0.012,0.001,0.713,1.003,171,19,10,0,2,10,0
"830",830,"P23284","f[(1)](id, age), f[(2)](age)",0.14,0.095,0.005,0.015,0.001,0.743,1.004,189,21,11,0,4,11,0
"831",831,"P23381","f[(1)](id, age), f[(2)](age)",0.209,0.053,0.013,0.001,0.003,0.72,1.002,189,21,11,0,4,10,0
"832",832,"P23435","f[(1)](id, age), f[(2)](age)",0.725,0.047,0.002,0.039,0.001,0.186,1.003,189,21,11,0,1,11,0
"833",833,"P23467","f[(1)](id, age)",0.619,0.016,0.003,0.007,0.003,0.352,1.002,189,21,11,0,4,11,0
"834",834,"P23468","f[(1)](id, age), f[(2)](age)",0.388,0.265,0.026,0.004,0.01,0.307,1.01,189,21,11,0,5,8,0
"835",835,"P23471","f[(1)](id, age), f[(2)](age), f[(4)](sex, age)",0.403,0.212,0.011,0.047,0.003,0.324,1.003,189,21,11,0,6,10,0
"836",836,"P23526","f[(2)](age), f[(1)](id, age)",0.065,0.378,0.016,0.003,0.007,0.53,1.002,162,18,8,0,2,6,0
"837",837,"P24043","f[(1)](id, age), f[(2)](age)",0.424,0.038,0.005,0.009,0.002,0.522,1.002,189,21,11,0,4,11,0
"838",838,"P24298","f[(1)](id, age)",0.501,0.009,0.005,0.016,0.001,0.468,1.002,189,21,11,0,4,11,0
"839",839,"P24387","f[(1)](id, age)",0.766,0.003,0.011,0.004,0.007,0.208,1.003,189,21,11,0,2,11,0
"840",840,"P24592","f[(1)](id, age), f[(2)](age), f[(5)](group)",0.417,0.203,0.004,0.001,0.059,0.315,1.002,189,21,11,0,0,11,0
"841",841,"P24593","f[(2)](age), f[(1)](id, age)",0.269,0.502,0.003,0.009,0.005,0.212,1.005,189,21,11,0,4,11,0
"842",842,"P24666","f[(3)](diseaseAge), f[(2)](age), f[(1)](id, age)",0.063,0.137,0.151,0.002,0.005,0.642,1.012,162,19,9,0,1,1,0
"843",843,"P24821","f[(2)](age), f[(1)](id, age)",0.161,0.221,0.01,0.009,0.002,0.596,1.002,189,21,11,0,3,9,0
"844",844,"P24855","f[(1)](id, age)",0.739,0.001,0.006,0.005,0.001,0.248,1.002,169,19,9,0,3,8,0
